Designator,Value,Package,Mounting,Part Number,Supplier,Qty
"DIN1, DIN2","5 P DIN JACK","PTH","PTH","CP-2350-ND	","Digikey","2"
"J2, J5, J4, J3, J1","PHONE JACK","PTH","PTH","CL1384 ","Cliff","5"
"SOCKET_1","6POS EDGECARD  ","PTH","PTH","7-5530843-6-ND	","Digikey","1"

